name,boro,zipcode,score,latitude,longitude,nta,review_count,transactions,price,community_by_nta,median_income_by_com,pop_by_nta,distance,cuisine_type,above_avg
frozen planet,Brooklyn,11234.0,2.0,40.61961891,-73.91586936,BK45,53,"['delivery', 'pickup']",2,K18,80471.0,45231.0,11608.949125625371,bakery_deli_cafe,1
sweet science,Brooklyn,11206.0,12.0,40.70642007,-73.94306654,BK90,578,"['delivery', 'pickup']",2,K01,98284.0,34158.0,4310.232681781688,american,0
kal,Queens,11103.0,22.0,40.76570338,-73.91883928,QN70,170,"['delivery', 'pickup']",2,Q01,79180.0,78793.0,9261.880442747193,e_asian,1
the storehouse,Manhattan,10010.0,9.0,40.74241504,-73.99162045,MN13,167,['delivery'],2,M05,120248.0,70150.0,4150.062633977121,american,0
agra taj mahal,Brooklyn,11222.0,11.0,40.73335421,-73.95479197,BK76,148,"['delivery', 'pickup']",2,K01,98284.0,34719.0,4530.353502135207,s_asian,0
lower east side pizza,Manhattan,10002.0,11.0,40.71412728,-73.98923964,MN28,74,"['delivery', 'pickup']",1,M03,41302.0,72957.0,1038.513773594224,italian_pizza,0
cafe con amor,Queens,11377.0,10.0,40.74595349,-73.89977926,QN63,91,"['pickup', 'delivery']",2,Q02,80913.0,45099.0,9160.554637090063,bakery_deli_cafe,0
tasty deli,Manhattan,10032.0,13.0,40.84181681,-73.93913364,MN36,279,"['delivery', 'pickup']",1,M12,53507.0,84438.0,15855.954211760007,american,0
parker & quinn,Manhattan,10018.0,12.0,40.75176572,-73.98462811,MN17,1354,"['delivery', 'pickup']",2,M05,120248.0,28630.0,5299.158389411888,american,0
donovan's pub,Queens,11377.0,12.0,40.74534768,-73.90723622,QN63,422,"['pickup', 'delivery']",2,Q02,80913.0,45099.0,8597.602493312226,american,0
dtut,Manhattan,10128.0,12.0,40.78091869,-73.94950936,MN32,493,"['pickup', 'delivery']",1,M08,134264.0,77942.0,9200.649571596226,american,0
wheated,Brooklyn,11218.0,12.0,40.64641869,-73.97075357,BK42,330,[],2,K14,65599.0,105804.0,6844.434796463964,italian_pizza,1
lula bagel,Brooklyn,11216.0,10.0,40.67087591,-73.95041850000001,BK61,238,"['pickup', 'delivery']",1,K08,74429.0,103169.0,5322.965354424359,bakery_deli_cafe,0
court street grocers hero shop,Brooklyn,11231.0,12.0,40.67839834,-74.01308719,BK33,45,"['delivery', 'pickup']",2,K06,155250.0,38353.0,3375.8592882084235,bakery_deli_cafe,1
estela,Manhattan,10012.0,10.0,40.72482128,-73.99458468,MN24,522,[],3,M02,162092.0,42742.0,2147.944109430493,american,0
good taste,Bronx,10453.0,7.0,40.85410903,-73.91519928,BX36,49,"['delivery', 'pickup']",1,B05,32025.0,54188.0,7460.619599551464,e_asian,0
hi-collar,Manhattan,10003.0,5.0,40.72931370000001,-73.98575541,MN22,596,"['delivery', 'pickup']",2,M03,41302.0,44136.0,2736.177785571269,bakery_deli_cafe,0
milk & honey cafe,Brooklyn,11230.0,10.0,40.63402209,-73.96648962,BK42,1054,"['delivery', 'pickup']",2,K14,65599.0,105804.0,8254.401610805717,bakery_deli_cafe,0
pick-a-bagel,Manhattan,10075.0,13.0,40.77376441,-73.95975049,MN40,249,"['delivery', 'pickup']",1,M08,134264.0,61207.0,8039.374050917992,bakery_deli_cafe,0
the greek,Manhattan,10013.0,13.0,40.72364625,-74.0095064,MN24,485,"['delivery', 'pickup']",3,M02,162092.0,42742.0,2407.2570848140813,s_european,1
zona rosa,Brooklyn,11211.0,12.0,40.71394369,-73.9493655,BK73,455,[],2,K01,98284.0,45774.0,3899.4397732981843,latin_caribbean,0
enthaice thai kitchen,Queens,11106.0,8.0,40.76345189,-73.92165416,QN70,691,"['delivery', 'pickup']",2,Q01,79180.0,78793.0,8881.720321020517,se_asian,0
el born,Brooklyn,11222.0,7.0,40.72445695,-73.95119745,BK76,307,"['pickup', 'delivery']",2,K01,98284.0,34719.0,4194.692764168617,s_european,1
grace street,Manhattan,10001.0,11.0,40.74745939,-73.98620987,MN17,2523,"['delivery', 'pickup']",2,M05,120248.0,28630.0,4760.904253854418,bakery_deli_cafe,0
reserve cut,Manhattan,10004.0,13.0,40.70601369,-74.01133252,MN25,277,[],4,M02,162092.0,39699.0,1475.1823963703616,american,0
mar's,Queens,11106.0,13.0,40.75844195,-73.92461636,QN70,258,[],3,Q01,79180.0,78793.0,8342.997986669561,american,0
hane sushi,Manhattan,10009.0,12.0,40.73489017,-73.97982208,MN50,317,"['pickup', 'delivery']",2,M06,154501.0,21049.0,3478.0064939823583,e_asian,0
earl's beer & cheese,Manhattan,10029.0,10.0,40.78743575,-73.95189141,MN33,601,"['delivery', 'pickup']",2,M11,32408.0,57902.0,9789.30997488639,american,1
the east pole,Manhattan,10065.0,12.0,40.76610574,-73.96572616,MN40,253,"['pickup', 'delivery']",3,M08,134264.0,61207.0,7173.236015010647,american,0
the sweet shop nyc,Manhattan,10021.0,11.0,40.76830337,-73.95510390000003,MN31,436,"['delivery', 'pickup']",2,M08,134264.0,80771.0,7705.598938745693,american,0
bantam bagels,Manhattan,10014.0,6.0,40.73187815,-74.00336283,MN23,281,"['delivery', 'pickup']",1,M02,162092.0,66880.0,3040.264514626479,bakery_deli_cafe,0
cascalote latin bistro,Manhattan,10029.0,7.0,40.79273347,-73.94087971,MN34,356,"['delivery', 'pickup']",2,M11,32408.0,58019.0,10703.509887532475,latin_caribbean,1
il gattopardo,Manhattan,10019.0,10.0,40.76135994,-73.97612843,MN17,158,[],3,M05,120248.0,28630.0,6414.53228423665,italian_pizza,0
mexican festival,Manhattan,10025.0,42.0,40.798256,-73.96914076,MN12,269,"['delivery', 'pickup']",2,M07,136735.0,132378.0,10540.165374012111,latin_caribbean,0
the supply house,Manhattan,10028.0,5.0,40.77750529,-73.95201777,MN32,346,"['delivery', 'pickup']",2,M08,134264.0,77942.0,8768.14412472643,american,0
balaboosta,Manhattan,10014.0,27.0,40.73763657,-74.00568339,MN23,62,"['pickup', 'delivery']",3,M02,162092.0,66880.0,3714.489974250332,s_european,0
ital kitchen,Brooklyn,11225.0,12.0,40.66962718,-73.95761103,BK63,141,"['pickup', 'delivery']",2,K09,66701.0,39670.0,5028.751160624319,american,1
cibo e vino,Manhattan,10024.0,11.0,40.79010554,-73.97507801,MN12,320,"['pickup', 'delivery']",2,M07,136735.0,132378.0,9565.28733738756,italian_pizza,0
the skylark,Manhattan,10018.0,9.0,40.75384396,-73.98855103,MN17,560,[],3,M05,120248.0,28630.0,5450.162208971763,american,0
hou yi hot pot,Manhattan,10002.0,11.0,40.71640296,-73.99262297,MN27,206,[],3,M03,41302.0,47844.0,2471.011906389663,e_asian,0
bengal tiger indian food,Manhattan,10019.0,7.0,40.76303427,-73.976265,MN17,1930,"['delivery', 'pickup']",2,M05,120248.0,28630.0,6579.278643154158,s_asian,1
mountain province,Brooklyn,11211.0,8.0,40.70750223,-73.95053543,BK90,262,"['delivery', 'pickup']",1,K01,98284.0,34158.0,3708.860358733749,bakery_deli_cafe,1
boilermaker,Manhattan,10003.0,12.0,40.7233771,-73.98870059,MN22,237,"['pickup', 'delivery']",2,M03,41302.0,44136.0,2059.001729336696,american,0
ez grill nyc,Bronx,10462.0,10.0,40.85441694,-73.86423288,BX49,137,"['delivery', 'pickup']",1,B11,58204.0,30073.0,19851.96476894186,s_european,0
cafe 52 restaurant,Queens,11377.0,11.0,40.74429566,-73.91327172,QN31,129,"['delivery', 'pickup']",2,Q02,80913.0,63271.0,8130.330327018874,american,0
rancho tequileria,Manhattan,10019.0,6.0,40.76357691,-73.98888868,MN15,293,"['delivery', 'pickup']",2,M05,120248.0,45884.0,6495.374763979711,latin_caribbean,0
terrace bagels,Brooklyn,11215.0,7.0,40.66000471,-73.98070624,BK40,356,"['pickup', 'delivery']",1,K07,67871.0,20988.0,5167.1165531019315,american,0
patisserie tomoko,Brooklyn,11211.0,13.0,40.7174829,-73.95217297,BK73,318,"['pickup', 'delivery']",2,K01,98284.0,45774.0,3819.173952787307,bakery_deli_cafe,1
fuleen seafood restaurant,Manhattan,10002.0,15.0,40.71407285,-73.99692665,MN27,77,"['delivery', 'pickup']",2,M03,41302.0,47844.0,967.8882926836574,e_asian,0
